1,whisper,4,2,7,Skip
1,whisper,5,2,5,Skip
1,whisper,6,3,7,Over
1,whisper,7,3,5,Over
1,guard,11,1,SEER
1,attackVote,5,1
1,attackVote,7,8
1,attackVote,5,1
1,attackVote,7,8
1,attack,1,false
2,status,1,SEER,ALIVE,TOKU13
2,status,2,VILLAGER,ALIVE,HALU
2,status,3,VILLAGER,ALIVE,TOKU2
2,status,4,WEREWOLF,DEAD,OKAMI
2,status,5,WEREWOLF,ALIVE,sample_py
2,status,6,VILLAGER,ALIVE,OKAMI
2,status,7,WEREWOLF,ALIVE,Tomato10
2,status,8,POSSESSED,ALIVE,Takeda3
2,status,9,VILLAGER,ALIVE,TOKU14
2,status,10,VILLAGER,ALIVE,HALU
2,status,11,BODYGUARD,ALIVE,SampleJava9
2,status,12,VILLAGER,ALIVE,SampleJava0
2,status,13,VILLAGER,ALIVE,OKAMI
2,status,14,MEDIUM,ALIVE,sample_py
2,status,15,VILLAGER,ALIVE,Takeda11
2,talk,0,0,11,VOTE Agent[05]
2,talk,1,0,7,VOTE Agent[05]
2,talk,2,0,1,DIVINED Agent[12] HUMAN
2,talk,3,0,2,VOTE Agent[08]
2,talk,4,0,6,VOTE Agent[08]
2,talk,5,0,3,VOTE Agent[12]
2,talk,6,0,14,COMINGOUT Agent[14] MEDIUM
2,talk,7,0,13,VOTE Agent[08]
2,talk,8,0,9,VOTE Agent[12]
2,talk,9,0,12,BECAUSE (AND (COMINGOUT Agent[12] VILLAGER) (DAY 1 (Agent[08] DIVINED Agent[12] WEREWOLF))) (XOR (ESTIMATE Agent[08] WEREWOLF) (ESTIMATE Agent[08] POSSESSED))
2,talk,10,0,8,DIVINED Agent[09] HUMAN
2,talk,11,0,5,VOTE Agent[06]
2,talk,12,0,10,VOTE Agent[08]
2,talk,13,0,15,VOTE Agent[12]
2,talk,14,1,14,IDENTIFIED Agent[04] WEREWOLF
2,talk,15,1,8,VOTE Agent[12]
2,talk,16,1,15,VOTE Agent[09]
2,talk,17,1,9,VOTE Agent[15]
2,talk,18,1,6,COMINGOUT Agent[06] VILLAGER
2,talk,19,1,1,VOTE Agent[09]
2,talk,20,1,13,COMINGOUT Agent[13] VILLAGER
2,talk,21,1,12,BECAUSE (XOR (ESTIMATE Agent[08] WEREWOLF) (ESTIMATE Agent[08] POSSESSED)) (AND (VOTE Agent[08]) (REQUEST ANY (VOTE Agent[08])))
2,talk,22,1,7,VOTE Agent[08]
2,talk,23,1,2,VOTE Agent[08]
2,talk,24,1,11,REQUEST ANY (VOTE Agent[05])
2,talk,25,1,10,VOTE Agent[08]
2,talk,26,1,3,VOTE Agent[09]
2,talk,27,1,5,Skip
2,talk,28,2,2,VOTE Agent[08]
2,talk,29,2,15,Skip
2,talk,30,2,7,Skip
2,talk,31,2,5,Skip
2,talk,32,2,11,Skip
2,talk,33,2,1,VOTE Agent[09]
2,talk,34,2,8,Skip
2,talk,35,2,12,VOTE Agent[08]
2,talk,36,2,3,VOTE Agent[05]
2,talk,37,2,14,VOTE Agent[12]
2,talk,38,2,13,VOTE Agent[08]
2,talk,39,2,9,VOTE Agent[10]
2,talk,40,2,10,VOTE Agent[01]
2,talk,41,2,6,VOTE Agent[01]
2,talk,42,3,9,Skip
2,talk,43,3,14,Skip
2,talk,44,3,10,VOTE Agent[01]
2,talk,45,3,6,VOTE Agent[01]
2,talk,46,3,12,REQUEST ANY (VOTE Agent[08])
2,talk,47,3,7,Skip
2,talk,48,3,3,VOTE Agent[09]
2,talk,49,3,8,Skip
2,talk,50,3,1,VOTE Agent[09]
2,talk,51,3,11,Skip
2,talk,52,3,15,Skip
2,talk,53,3,13,VOTE Agent[01]
2,talk,54,3,2,VOTE Agent[01]
2,talk,55,3,5,Over
2,talk,56,4,7,VOTE Agent[01]
2,talk,57,4,9,Skip
2,talk,58,4,2,VOTE Agent[01]
2,talk,59,4,8,Over
2,talk,60,4,1,VOTE Agent[09]
2,talk,61,4,3,Skip
2,talk,62,4,6,VOTE Agent[08]
2,talk,63,4,11,Over
2,talk,64,4,10,VOTE Agent[01]
2,talk,65,4,14,Skip
2,talk,66,4,12,Skip
2,talk,67,4,15,Over
2,talk,68,4,13,VOTE Agent[08]
2,talk,69,4,5,Over
2,talk,70,5,2,VOTE Agent[01]
2,talk,71,5,11,Over
2,talk,72,5,7,VOTE Agent[08]
2,talk,73,5,3,Skip
2,talk,74,5,14,Over
2,talk,75,5,10,VOTE Agent[01]
2,talk,76,5,1,VOTE Agent[09]
2,talk,77,5,13,VOTE Agent[01]
2,talk,78,5,8,Over
2,talk,79,5,15,Over
2,talk,80,5,6,VOTE Agent[08]
2,talk,81,5,9,Over
2,talk,82,5,12,Skip
