0,status,1,VILLAGER,ALIVE,Takeda1
0,status,2,VILLAGER,ALIVE,TOKU2
0,status,3,WEREWOLF,ALIVE,SampleJava4
0,status,4,WEREWOLF,ALIVE,sample_py
0,status,5,VILLAGER,ALIVE,HALU
0,status,6,VILLAGER,ALIVE,TOKU10
0,status,7,POSSESSED,ALIVE,TOKU3
0,status,8,SEER,ALIVE,HALU
0,status,9,VILLAGER,ALIVE,OKAMI
0,status,10,VILLAGER,ALIVE,sample_py
0,status,11,WEREWOLF,ALIVE,TOKU14
0,status,12,VILLAGER,ALIVE,Takeda12
0,status,13,MEDIUM,ALIVE,Takeda0
0,status,14,BODYGUARD,ALIVE,TOKU5
0,status,15,VILLAGER,ALIVE,Tomato9
0,whisper,0,0,3,COMINGOUT Agent[03] VILLAGER
0,whisper,1,0,4,COMINGOUT Agent[04] VILLAGER
0,whisper,2,0,11,Skip
0,whisper,3,1,11,Skip
0,whisper,4,1,4,COMINGOUT Agent[04] VILLAGER
0,whisper,5,1,3,Skip
0,whisper,6,2,3,Skip
0,whisper,7,2,11,Over
0,whisper,8,2,4,COMINGOUT Agent[04] VILLAGER
0,whisper,9,3,4,COMINGOUT Agent[04] VILLAGER
0,whisper,10,3,3,Over
0,whisper,11,3,11,Over
0,whisper,12,4,4,COMINGOUT Agent[04] VILLAGER
0,whisper,13,4,3,Over
0,whisper,14,4,11,Over
0,whisper,15,5,3,Over
0,whisper,16,5,4,COMINGOUT Agent[04] VILLAGER
0,whisper,17,5,11,Over
0,whisper,18,6,4,COMINGOUT Agent[04] VILLAGER
0,whisper,19,6,3,Over
0,whisper,20,6,11,Over
0,whisper,21,7,11,Over
0,whisper,22,7,3,Over
0,whisper,23,7,4,COMINGOUT Agent[04] VILLAGER
0,whisper,24,8,4,COMINGOUT Agent[04] VILLAGER
0,whisper,25,8,11,Over
0,whisper,26,8,3,Over
0,whisper,27,9,3,Over
0,whisper,28,9,11,Over
0,whisper,29,9,4,COMINGOUT Agent[04] VILLAGER
0,whisper,30,10,11,Over
0,whisper,31,10,3,Over
0,whisper,32,10,4,Over
0,divine,8,3,WEREWOLF
1,status,1,VILLAGER,ALIVE,Takeda1
1,status,2,VILLAGER,ALIVE,TOKU2
1,status,3,WEREWOLF,ALIVE,SampleJava4
1,status,4,WEREWOLF,ALIVE,sample_py
1,status,5,VILLAGER,ALIVE,HALU
1,status,6,VILLAGER,ALIVE,TOKU10
1,status,7,POSSESSED,ALIVE,TOKU3
1,status,8,SEER,ALIVE,HALU
1,status,9,VILLAGER,ALIVE,OKAMI
1,status,10,VILLAGER,ALIVE,sample_py
1,status,11,WEREWOLF,ALIVE,TOKU14
1,status,12,VILLAGER,ALIVE,Takeda12
1,status,13,MEDIUM,ALIVE,Takeda0
1,status,14,BODYGUARD,ALIVE,TOKU5
1,status,15,VILLAGER,ALIVE,Tomato9
1,talk,0,0,11,VOTE Agent[14]
1,talk,1,0,10,VOTE Agent[07]
1,talk,2,0,6,VOTE Agent[07]
1,talk,3,0,5,VOTE Agent[11]
1,talk,4,0,15,VOTE Agent[07]
1,talk,5,0,1,VOTE Agent[07]
1,talk,6,0,7,COMINGOUT Agent[07] SEER
1,talk,7,0,4,VOTE Agent[14]
1,talk,8,0,14,VOTE Agent[07]
1,talk,9,0,8,COMINGOUT Agent[08] SEER
1,talk,10,0,2,VOTE Agent[07]
1,talk,11,0,13,COMINGOUT Agent[13] MEDIUM
1,talk,12,0,3,VOTE Agent[06]
1,talk,13,0,9,VOTE Agent[14]
1,talk,14,0,12,VOTE Agent[07]
1,talk,15,1,10,Skip
1,talk,16,1,13,VOTE Agent[01]
1,talk,17,1,15,Skip
1,talk,18,1,8,DIVINED Agent[03] WEREWOLF
1,talk,19,1,6,VOTE Agent[12]
1,talk,20,1,5,VOTE Agent[03]
1,talk,21,1,11,VOTE Agent[08]
1,talk,22,1,12,VOTE Agent[06]
1,talk,23,1,2,VOTE Agent[03]
1,talk,24,1,7,DIVINED Agent[15] WEREWOLF
1,talk,25,1,14,VOTE Agent[02]
1,talk,26,1,9,COMINGOUT Agent[09] VILLAGER
1,talk,27,1,1,VOTE Agent[08]
1,talk,28,1,4,VOTE Agent[09]
1,talk,29,1,3,REQUEST ANY (VOTE Agent[06])
1,talk,30,2,5,VOTE Agent[09]
1,talk,31,2,15,VOTE Agent[09]
1,talk,32,2,6,VOTE Agent[14]
1,talk,33,2,9,VOTE Agent[03]
1,talk,34,2,3,Skip
1,talk,35,2,4,Skip
1,talk,36,2,8,VOTE Agent[03]
1,talk,37,2,12,VOTE Agent[01]
1,talk,38,2,13,Skip
1,talk,39,2,2,VOTE Agent[01]
1,talk,40,2,14,VOTE Agent[03]
1,talk,41,2,1,Skip
1,talk,42,2,10,VOTE Agent[03]
1,talk,43,2,11,VOTE Agent[01]
1,talk,44,2,7,VOTE Agent[15]
1,talk,45,3,7,Skip
1,talk,46,3,3,Skip
1,talk,47,3,12,VOTE Agent[02]
1,talk,48,3,5,VOTE Agent[09]
1,talk,49,3,8,VOTE Agent[03]
1,talk,50,3,11,VOTE Agent[06]
1,talk,51,3,6,VOTE Agent[12]
1,talk,52,3,13,VOTE Agent[14]
1,talk,53,3,4,Skip
1,talk,54,3,15,VOTE Agent[03]
1,talk,55,3,2,VOTE Agent[14]
1,talk,56,3,9,VOTE Agent[15]
1,talk,57,3,10,Skip
1,talk,58,3,1,VOTE Agent[12]
1,talk,59,3,14,VOTE Agent[12]
1,talk,60,4,3,Over
1,talk,61,4,13,VOTE Agent[12]
1,talk,62,4,14,Skip
1,talk,63,4,7,Skip
1,talk,64,4,1,VOTE Agent[08]
1,talk,65,4,2,VOTE Agent[06]
1,talk,66,4,11,Skip
1,talk,67,4,12,VOTE Agent[14]
1,talk,68,4,5,VOTE Agent[09]
1,talk,69,4,15,VOTE Agent[12]
1,talk,70,4,4,Over
1,talk,71,4,10,Skip
1,talk,72,4,8,VOTE Agent[03]
1,talk,73,4,6,Skip
1,talk,74,4,9,VOTE Agent[15]
1,talk,75,5,3,Over
1,talk,76,5,11,Skip
1,talk,77,5,7,Over
1,talk,78,5,13,Skip
1,talk,79,5,14,Skip
1,talk,80,5,8,VOTE Agent[03]
1,talk,81,5,12,VOTE Agent[06]
1,talk,82,5,6,Skip
1,talk,83,5,4,Over
1,talk,84,5,10,Over
1,talk,85,5,9,VOTE Agent[15]
1,talk,86,5,15,VOTE Agent[06]
1,talk,87,5,5,VOTE Agent[09]
1,talk,88,5,2,Skip
1,talk,89,5,1,VOTE Agent[06]
1,talk,90,6,7,Over
1,talk,91,6,13,Skip
1,talk,92,6,10,Over
1,talk,93,6,6,Over
1,talk,94,6,12,VOTE Agent[14]
1,talk,95,6,9,VOTE Agent[15]
1,talk,96,6,8,VOTE Agent[03]
1,talk,97,6,11,Over
1,talk,98,6,5,VOTE Agent[09]
1,talk,99,6,3,Over
1,talk,100,6,14,Over
1,talk,101,6,15,Skip
1,talk,102,6,4,Over
1,talk,103,6,1,Skip
1,talk,104,6,2,VOTE Agent[12]
1,talk,105,7,7,Over
1,talk,106,7,14,Over
1,talk,107,7,8,VOTE Agent[03]
1,talk,108,7,13,Over
1,talk,109,7,3,Over
1,talk,110,7,2,VOTE Agent[06]
1,talk,111,7,15,Skip
1,talk,112,7,9,VOTE Agent[15]
1,talk,113,7,10,Over
1,talk,114,7,6,Over
1,talk,115,7,1,VOTE Agent[12]
1,talk,116,7,4,Over
1,talk,117,7,12,Skip
1,talk,118,7,11,Over
1,talk,119,7,5,VOTE Agent[09]
1,talk,120,8,14,Over
1,talk,121,8,1,Skip
1,talk,122,8,7,Over
1,talk,123,8,3,Over
1,talk,124,8,11,Over
1,talk,125,8,2,Skip
1,talk,126,8,5,VOTE Agent[09]
1,talk,127,8,12,VOTE Agent[06]
1,talk,128,8,9,VOTE Agent[15]
1,talk,129,8,10,Over
1,talk,130,8,15,VOTE Agent[12]
1,talk,131,8,8,VOTE Agent[03]
1,talk,132,8,4,Over
1,talk,133,8,13,Over
1,talk,134,8,6,Over
1,talk,135,9,5,Over
1,talk,136,9,7,Over
1,talk,137,9,4,Over
1,talk,138,9,12,Skip
1,talk,139,9,9,Over
1,talk,140,9,8,Over
1,talk,141,9,14,Over
1,talk,142,9,10,Over
1,talk,143,9,2,Skip
1,talk,144,9,3,Over
1,talk,145,9,11,Over
1,talk,146,9,13,Over
1,talk,147,9,6,Over
1,talk,148,9,15,VOTE Agent[06]
1,talk,149,9,1,Skip
1,talk,150,10,15,VOTE Agent[12]
1,talk,151,10,9,Over
1,talk,152,10,1,Over
1,talk,153,10,8,Over
1,talk,154,10,7,Over
1,talk,155,10,4,Over
1,talk,156,10,13,Over
1,talk,157,10,10,Over
1,talk,158,10,11,Over
1,talk,159,10,5,Over
1,talk,160,10,6,Over
1,talk,161,10,2,Over
1,talk,162,10,12,Skip
1,talk,163,10,3,Over
1,talk,164,10,14,Over
1,talk,165,11,3,Over
1,talk,166,11,15,Skip
1,talk,167,11,4,Over
1,talk,168,11,9,Over
1,talk,169,11,5,Over
1,talk,170,11,12,Over
1,talk,171,11,1,VOTE Agent[06]
1,talk,172,11,2,Over
1,talk,173,11,6,Over
1,talk,174,11,11,Over
1,talk,175,11,7,Over
1,talk,176,11,8,Over
1,talk,177,11,14,Over
1,talk,178,11,10,Over
1,talk,179,11,13,Over
1,talk,180,12,2,Over
1,talk,181,12,11,VOTE Agent[12]
1,talk,182,12,14,Over
1,talk,183,12,8,Over
1,talk,184,12,5,Over
1,talk,185,12,1,VOTE Agent[12]
1,talk,186,12,6,Over
1,talk,187,12,15,Skip
1,talk,188,12,9,Over
1,talk,189,12,3,Over
1,talk,190,12,4,Over
1,talk,191,12,7,Over
1,talk,192,12,10,Over
1,talk,193,12,13,Over
1,talk,194,12,12,Over
1,talk,195,13,10,Over
1,talk,196,13,7,Over
1,talk,197,13,8,Over
1,talk,198,13,9,Over
1,talk,199,13,4,Over
1,talk,200,13,14,Over
1,talk,201,13,13,Over
1,talk,202,13,5,Over
1,talk,203,13,1,Skip
1,talk,204,13,6,Over
1,talk,205,13,15,Over
1,talk,206,13,2,Over
1,talk,207,13,11,Skip
1,talk,208,13,12,Over
1,talk,209,13,3,Over
1,talk,210,14,14,Over
1,talk,211,14,7,Over
1,talk,212,14,15,Over
1,talk,213,14,5,Over
1,talk,214,14,4,Over
1,talk,215,14,10,Over
1,talk,216,14,12,Over
1,talk,217,14,3,Over
1,talk,218,14,6,Over
1,talk,219,14,9,Over
1,talk,220,14,1,Skip
1,talk,221,14,8,Over
1,talk,222,14,13,Over
1,talk,223,14,11,Skip
1,talk,224,14,2,Over
1,talk,225,15,7,Over
1,talk,226,15,2,Over
1,talk,227,15,13,VOTE Agent[06]
1,talk,228,15,11,Over
1,talk,229,15,5,Over
1,talk,230,15,12,Over
1,talk,231,15,8,Over
1,talk,232,15,15,VOTE Agent[06]
1,talk,233,15,6,Over
1,talk,234,15,4,Over
1,talk,235,15,9,Over
1,talk,236,15,10,Over
1,talk,237,15,14,Over
1,talk,238,15,1,Over
1,talk,239,15,3,Over
1,talk,240,16,15,VOTE Agent[12]
1,talk,241,16,13,Skip
1,talk,242,16,8,Over
1,talk,243,16,5,Over
1,talk,244,16,3,Over
1,talk,245,16,11,Over
1,talk,246,16,10,Over
1,talk,247,16,12,Over
1,talk,248,16,6,Over
1,talk,249,16,1,Over
1,talk,250,16,4,Over
1,talk,251,16,14,VOTE Agent[06]
1,talk,252,16,7,Over
1,talk,253,16,2,Over
1,talk,254,16,9,Over
1,talk,255,17,12,Over
1,talk,256,17,14,VOTE Agent[12]
1,talk,257,17,4,Over
1,talk,258,17,1,Over
1,talk,259,17,10,Over
1,talk,260,17,7,Over
1,talk,261,17,2,VOTE Agent[12]
1,talk,262,17,6,Over
1,talk,263,17,8,Over
1,talk,264,17,13,Skip
1,talk,265,17,5,Over
1,talk,266,17,15,Over
1,talk,267,17,3,Over
1,talk,268,17,9,Over
1,talk,269,17,11,Over
1,talk,270,18,12,Over
1,talk,271,18,6,Over
1,talk,272,18,14,Skip
1,talk,273,18,1,Over
1,talk,274,18,2,Skip
1,talk,275,18,11,Over
1,talk,276,18,5,Over
1,talk,277,18,10,Over
1,talk,278,18,8,Over
1,talk,279,18,15,Over
1,talk,280,18,7,Over
1,talk,281,18,9,Over
1,talk,282,18,3,Over
1,talk,283,18,13,Over
1,talk,284,18,4,Over
1,talk,285,19,3,Over
1,talk,286,19,5,Over
1,talk,287,19,4,Over
1,talk,288,19,8,Over
1,talk,289,19,13,Over
1,talk,290,19,15,Over
1,talk,291,19,9,Over
1,talk,292,19,6,Over
1,talk,293,19,14,Skip
1,talk,294,19,12,Over
1,talk,295,19,7,Over
1,talk,296,19,10,Over
1,talk,297,19,11,Over
1,talk,298,19,2,Skip
1,talk,299,19,1,Over
1,vote,1,12
1,vote,2,12
1,vote,3,6
1,vote,4,9
1,vote,5,9
1,vote,6,12
1,vote,7,6
1,vote,8,3
1,vote,9,15
1,vote,10,3
1,vote,11,12
1,vote,12,6
1,vote,13,6
1,vote,14,12
1,vote,15,12
1,execute,12,VILLAGER
1,divine,8,15,HUMAN
1,whisper,0,0,4,ATTACK Agent[09]
1,whisper,1,0,3,BECAUSE (AND (NOT (COMINGOUT Agent[07] WEREWOLF)) (NOT (COMINGOUT Agent[15] WEREWOLF)) (DAY 1 (Agent[07] DIVINED Agent[15] WEREWOLF))) (ESTIMATE Agent[07] POSSESSED)
1,whisper,2,0,11,Skip
1,whisper,3,1,11,Skip
1,whisper,4,1,4,Skip
1,whisper,5,1,3,BECAUSE (Agent[13] COMINGOUT Agent[13] MEDIUM) (ATTACK Agent[13])
1,whisper,6,2,3,ATTACK Agent[13]
1,whisper,7,2,11,Over
1,whisper,8,2,4,Skip
1,whisper,9,3,4,Over
1,whisper,10,3,3,Skip
1,whisper,11,3,11,Over
1,whisper,12,4,3,Skip
1,whisper,13,4,11,Over
1,whisper,14,4,4,Over
1,whisper,15,5,4,Over
1,whisper,16,5,3,Over
1,whisper,17,5,11,Over
1,guard,14,4,WEREWOLF
1,attackVote,3,13
1,attackVote,4,9
1,attackVote,11,8
1,attackVote,3,13
1,attackVote,4,9
1,attackVote,11,8
1,attack,13,true
2,status,1,VILLAGER,ALIVE,Takeda1
2,status,2,VILLAGER,ALIVE,TOKU2
2,status,3,WEREWOLF,ALIVE,SampleJava4
2,status,4,WEREWOLF,ALIVE,sample_py
2,status,5,VILLAGER,ALIVE,HALU
2,status,6,VILLAGER,ALIVE,TOKU10
2,status,7,POSSESSED,ALIVE,TOKU3
2,status,8,SEER,ALIVE,HALU
2,status,9,VILLAGER,ALIVE,OKAMI
2,status,10,VILLAGER,ALIVE,sample_py
2,status,11,WEREWOLF,ALIVE,TOKU14
2,status,12,VILLAGER,DEAD,Takeda12
2,status,13,MEDIUM,DEAD,Takeda0
2,status,14,BODYGUARD,ALIVE,TOKU5
2,status,15,VILLAGER,ALIVE,Tomato9
2,talk,0,0,3,VOTE Agent[06]
2,talk,1,0,7,DIVINED Agent[06] HUMAN
2,talk,2,0,14,VOTE Agent[06]
2,talk,3,0,10,VOTE Agent[15]
2,talk,4,0,4,VOTE Agent[09]
2,talk,5,0,5,VOTE Agent[09]
2,talk,6,0,11,VOTE Agent[06]
2,talk,7,0,1,VOTE Agent[06]
2,talk,8,0,9,VOTE Agent[15]
2,talk,9,0,6,VOTE Agent[08]
2,talk,10,0,15,VOTE Agent[06]
2,talk,11,0,2,VOTE Agent[06]
2,talk,12,0,8,DIVINED Agent[15] HUMAN
2,talk,13,1,5,VOTE Agent[09]
2,talk,14,1,11,Skip
2,talk,15,1,6,VOTE Agent[14]
2,talk,16,1,14,VOTE Agent[02]
2,talk,17,1,2,Skip
2,talk,18,1,15,Skip
2,talk,19,1,4,Skip
2,talk,20,1,8,VOTE Agent[03]
2,talk,21,1,3,REQUEST ANY (VOTE Agent[06])
2,talk,22,1,10,Skip
2,talk,23,1,1,Skip
2,talk,24,1,9,COMINGOUT Agent[09] VILLAGER
2,talk,25,1,7,VOTE Agent[15]
2,talk,26,2,5,VOTE Agent[09]
2,talk,27,2,11,Skip
2,talk,28,2,8,VOTE Agent[03]
2,talk,29,2,7,Skip
2,talk,30,2,10,Skip
2,talk,31,2,14,VOTE Agent[06]
2,talk,32,2,2,Skip
2,talk,33,2,1,Skip
2,talk,34,2,3,Skip
2,talk,35,2,9,VOTE Agent[03]
2,talk,36,2,15,Skip
2,talk,37,2,6,VOTE Agent[02]
2,talk,38,2,4,Skip
2,talk,39,3,6,VOTE Agent[14]
2,talk,40,3,7,Skip
2,talk,41,3,15,Over
2,talk,42,3,1,Over
2,talk,43,3,5,VOTE Agent[09]
2,talk,44,3,11,Over
2,talk,45,3,2,Over
2,talk,46,3,10,Over
2,talk,47,3,8,VOTE Agent[03]
2,talk,48,3,14,Skip
2,talk,49,3,9,VOTE Agent[03]
2,talk,50,3,4,Over
2,talk,51,3,3,Skip
2,talk,52,4,2,Over
2,talk,53,4,14,Skip
2,talk,54,4,11,Over
2,talk,55,4,5,VOTE Agent[09]
2,talk,56,4,10,Over
2,talk,57,4,1,Over
2,talk,58,4,9,VOTE Agent[03]
2,talk,59,4,8,VOTE Agent[03]
2,talk,60,4,4,Over
2,talk,61,4,7,Over
2,talk,62,4,6,Skip
2,talk,63,4,15,Over
2,talk,64,4,3,Over
2,talk,65,5,2,Over
2,talk,66,5,14,Over
2,talk,67,5,8,VOTE Agent[03]
2,talk,68,5,10,Over
2,talk,69,5,3,Over
2,talk,70,5,5,VOTE Agent[09]
2,talk,71,5,9,VOTE Agent[03]
2,talk,72,5,15,Over
2,talk,73,5,11,Over
2,talk,74,5,1,Over
2,talk,75,5,4,Over
2,talk,76,5,6,Skip
2,talk,77,5,7,Over
2,talk,78,6,3,Over
2,talk,79,6,1,Over
2,talk,80,6,15,Over
2,talk,81,6,5,VOTE Agent[09]
2,talk,82,6,10,Over
2,talk,83,6,7,Over
2,talk,84,6,11,Over
2,talk,85,6,6,Over
2,talk,86,6,14,Over
2,talk,87,6,9,VOTE Agent[03]
2,talk,88,6,2,Over
2,talk,89,6,8,VOTE Agent[03]
2,talk,90,6,4,Over
2,talk,91,7,3,Over
2,talk,92,7,8,VOTE Agent[03]
2,talk,93,7,6,Over
2,talk,94,7,9,VOTE Agent[03]
2,talk,95,7,7,Over
2,talk,96,7,5,VOTE Agent[09]
2,talk,97,7,14,Over
2,talk,98,7,10,Over
2,talk,99,7,11,Over
2,talk,100,7,15,Over
2,talk,101,7,2,Over
2,talk,102,7,1,Over
2,talk,103,7,4,Over
2,talk,104,8,11,Over
2,talk,105,8,10,Over
2,talk,106,8,3,Over
2,talk,107,8,2,Over
2,talk,108,8,15,Over
2,talk,109,8,1,Over
2,talk,110,8,8,VOTE Agent[03]
2,talk,111,8,9,VOTE Agent[03]
2,talk,112,8,6,Over
2,talk,113,8,7,Over
2,talk,114,8,4,Over
2,talk,115,8,5,VOTE Agent[09]
2,talk,116,8,14,Over
2,talk,117,9,7,Over
2,talk,118,9,8,Over
2,talk,119,9,5,Over
2,talk,120,9,10,Over
2,talk,121,9,14,Over
2,talk,122,9,3,Over
2,talk,123,9,11,Over
2,talk,124,9,4,Over
2,talk,125,9,9,Over
